iter	Passed	Remaining
469	751	847
470	752	845
471	754	843
472	756	842
473	757	840
474	759	839
475	760	837
476	762	835
477	764	834
478	765	832
479	767	831
480	768	829
481	770	827
482	772	826
483	773	824
484	775	823
485	776	821
486	778	819
487	779	818
488	781	816
489	783	815
490	784	813
491	786	811
492	787	810
493	789	808
494	791	807
495	793	806
496	795	804
497	796	803
498	798	801
499	799	799
500	801	798
501	803	796
502	804	794
503	806	793
504	807	791
505	809	790
506	810	788
507	812	786
508	813	785
509	815	783
510	817	782
511	818	780
512	820	778
513	822	777
514	823	775
515	825	774
516	827	772
517	828	771
518	830	769
519	832	768
520	833	766
521	835	765
522	837	763
523	838	761
524	840	760
525	842	758
526	843	757
527	845	755
528	847	754
529	849	752
530	850	751
531	852	749
532	853	748
533	855	746
534	857	745
535	858	743
536	860	741
537	862	740
538	863	738
539	865	737
540	867	735
541	869	734
542	870	733
543	872	731
544	874	729
545	875	728
546	877	726
547	879	725
548	881	723
549	882	722
550	884	720
551	886	719
552	887	717
553	889	716
554	891	714
555	892	712
556	894	711
557	896	709
558	898	708
559	900	707
560	901	705
561	903	704
562	905	702
563	906	701
564	908	699
565	910	697
566	911	696
567	913	694
568	915	693
569	916	691
570	918	690
571	920	688
572	921	686
573	923	685
574	925	683
575	926	682
576	928	680
577	930	679
578	931	677
579	933	675
580	935	674
581	937	672
582	938	671
583	940	669
584	941	668
585	943	666
586	945	665
587	947	663
588	948	662
589	950	660
590	952	658
591	953	657
592	955	655
593	957	654
594	959	652
595	960	651
596	962	649
597	963	648
598	965	646
599	967	644
600	969	643
601	970	641
602	972	640
603	974	638
604	975	637
605	977	635
606	979	633
607	980	632
608	982	630
609	984	629
610	985	627
611	987	625
612	989	624
613	990	622
614	992	621
615	994	619
616	995	618
617	997	616
618	999	614
619	1000	613
620	1002	611
621	1004	610
622	1006	608
623	1007	607
624	1009	605
625	1010	604
626	1012	602
627	1014	600
628	1016	599
629	1017	597
630	1019	596
631	1021	594
632	1022	592
633	1024	591
634	1025	589
635	1027	588
636	1029	586
637	1030	584
638	1032	583
639	1034	581
640	1035	580
641	1037	578
642	1038	576
643	1040	575
644	1042	573
645	1043	572
646	1045	570
647	1047	568
648	1049	567
649	1050	565
650	1052	564
651	1054	562
652	1055	560
653	1057	559
654	1058	557
655	1060	556
656	1062	554
657	1063	552
658	1065	551
659	1067	549
