iter	Logloss
0	0.6491460832
1	0.6106100895
2	0.5804629336
3	0.5522559883
4	0.5262195325
5	0.5008075884
6	0.4812963828
7	0.4620364433
8	0.4461813656
9	0.4303349062
10	0.4142073459
11	0.4011998857
12	0.3907486367
13	0.380803956
14	0.3710193493
15	0.3641415027
16	0.3554514257
17	0.3492318634
18	0.3419544652
19	0.3378270615
20	0.3330130862
21	0.328311396
22	0.3239310605
23	0.320153836
24	0.3157882314
25	0.3126069206
26	0.3092978285
27	0.3057001806
28	0.3022072769
29	0.2991090475
30	0.2959411426
31	0.293331311
32	0.2905582462
33	0.2879579053
34	0.2855462512
35	0.2836844442
36	0.2817867069
37	0.2802803141
38	0.2789353375
39	0.2775255
40	0.2758792647
41	0.2738898874
42	0.2723048836
43	0.2712591045
44	0.269615199
45	0.2678186684
46	0.2662825339
47	0.2651202287
48	0.2637659231
49	0.2622806424
50	0.2609587407
51	0.259649662
52	0.2586388808
53	0.2575308068
54	0.2563464293
55	0.2553938442
56	0.2542417563
57	0.25307192
58	0.2521841523
59	0.2512767821
60	0.2504818945
61	0.2497337863
62	0.2492156644
63	0.2486778992
64	0.2478278307
65	0.2471225637
66	0.2460822217
67	0.2452863546
68	0.2446291239
69	0.2441226385
70	0.2435059445
71	0.2430223885
72	0.2425473462
73	0.2417466851
74	0.2411925146
75	0.2405901449
76	0.2401958933
77	0.2396339389
78	0.2391088651
79	0.2386577109
80	0.2381253047
81	0.2376817085
82	0.2371224797
83	0.2367068874
84	0.2362257681
85	0.2358506751
86	0.2353571503
87	0.2350399909
88	0.2345352321
89	0.2341770333
90	0.2338436638
91	0.2334750018
92	0.2331382459
93	0.2327619675
94	0.2323786501
95	0.2318463543
96	0.2314195338
97	0.2310563852
98	0.2307502411
99	0.2303961274
100	0.2300228452
101	0.2297031501
102	0.2294196441
103	0.2291325348
104	0.2288105619
105	0.2285877908
106	0.2282589667
107	0.2279334571
108	0.2276412558
109	0.227200017
110	0.2268865466
111	0.2265965126
112	0.2262775445
113	0.2260243866
114	0.2257122694
115	0.2253910037
116	0.225147122
117	0.2249142392
118	0.2246985394
119	0.2245074278
120	0.2240693862
121	0.2237190229
122	0.2234510145
123	0.2231865704
124	0.2229539268
125	0.2226710264
126	0.2224127335
127	0.2220662128
128	0.2217771451
129	0.2214826908
130	0.2212394222
131	0.2210140179
132	0.2207578245
133	0.2205362979
